PORTFOLIO,INITIAL_INVESTMENT_STOCKS
ABC,200.0
OK,333333.3333333333
MTFS,333333.3333333333
ALPA,333333.3333333333
LTSA,142857.14285714287
GMNA,142857.14285714287
NTIC,142857.14285714287
ABT,142857.14285714287
SM,142857.14285714287
CCSO,142857.14285714287
NEK,142857.14285714287
MMM,250000.0
TWM,250000.0
SM,250000.0
PEP,250000.0
SM,7666.666666666667
TCA,7666.666666666667
AB,7666.666666666667
ABT,7666.666666666667
LTSA,7666.666666666667
ONH,7666.666666666667
HD,7666.666666666667
GMNA,7666.666666666667
DMC,7666.666666666667
MTFS,16000.0
ONH,16000.0
CCSO,16000.0
TCA,16000.0
MMM,16000.0
JJN,8166.666666666667
EG,8166.666666666667
MZNA,8166.666666666667
KRM,8166.666666666667
PG,8166.666666666667
EPF,8166.666666666667
GS,16333.333333333334
HD,16333.333333333334
MZNA,16333.333333333334
NEK,34500.0
PG,34500.0
ALPA,8333.333333333334
ABT,8333.333333333334
FWC,8333.333333333334
EPF,8333.333333333334
TWM,8333.333333333334
LTSA,8333.333333333334
HD,6250.0
PG,6250.0
NTIC,6250.0
NEK,6250.0
KRM,6250.0
FWC,6250.0
EPF,6250.0
MMM,6250.0
JJN,3333.3333333333335
GMNA,3333.3333333333335
EG,3333.3333333333335
ONH,125000.0
NEK,125000.0
HD,125000.0
GS,125000.0
AB,125000.0
ABC,125000.0
TCA,125000.0
LTSA,125000.0
TWM,2500.0
AB,2500.0
OCST,25000.0
KRM,25000.0
GMNA,17250.0
AB,17250.0
KRM,17250.0
NEK,17250.0
DMC,16666.666666666668
OOGGL,16666.666666666668
MZNA,16666.666666666668
ONH,24500.0
OK,24500.0
ABT,1250.0
FWC,1250.0
CCSO,1250.0
OOGGL,1250.0
NEK,166666.66666666666
MZNA,166666.66666666666
HD,166666.66666666666
EG,166666.66666666666
DMC,166666.66666666666
LTSA,166666.66666666666
MZNA,1222.2222222222222
GS,1222.2222222222222
JJN,1222.2222222222222
EG,1222.2222222222222
MPJ,1222.2222222222222
ABT,1222.2222222222222
SM,1222.2222222222222
ABC,1222.2222222222222
PEP,1222.2222222222222
GS,9777.777777777777
ALPA,9777.777777777777
ABT,9777.777777777777
JJN,9777.777777777777
ONH,9777.777777777777
KRM,9777.777777777777
LTSA,9777.777777777777
EPF,9777.777777777777
MZNA,9777.777777777777
NTIC,5444.444444444444
GMNA,5444.444444444444
TWM,5444.444444444444
LTSA,5444.444444444444
PG,5444.444444444444
ONH,5444.444444444444
OK,5444.444444444444
JJN,5444.444444444444
AB,5444.444444444444
FWC,22500.0
JJN,22500.0
ABC,22500.0
MPJ,22500.0
TCA,17600.0
ABC,17600.0
OCST,17600.0
MTFS,17600.0
MMM,17600.0
LTSA,11000.0
OOGGL,11000.0
MTFS,11000.0
MZNA,11000.0
DMC,11000.0
ONH,11000.0
EPF,11000.0
TCA,11000.0
OCST,7857.142857142857
DMC,7857.142857142857
PG,7857.142857142857
EPF,7857.142857142857
ABT,7857.142857142857
MMM,7857.142857142857
EG,7857.142857142857
CCSO,7500.0
NEK,7500.0
AB,7500.0
DMC,7500.0
FWC,7500.0
OCST,7500.0
SM,10000.0
MZNA,10000.0
KRM,10000.0
TWM,10000.0
NTIC,10000.0
CCSO,10000.0
AB,10000.0
LTSA,10000.0
PEP,10000.0
MZNA,111111.11111111111
NEK,111111.11111111111
AB,111111.11111111111
KRM,111111.11111111111
OK,111111.11111111111
MPJ,111111.11111111111
TWM,111111.11111111111
LTSA,111111.11111111111
ABC,111111.11111111111
TWM,19400.0
ONH,19400.0
LTSA,19400.0
NTIC,19400.0
DMC,19400.0
PG,20000.0
EPF,20000.0
MTFS,20000.0
NTIC,20000.0
ABC,7000.0
AB,7000.0
FWC,7000.0
LTSA,7000.0
OOGGL,7000.0
GS,7000.0
KRM,7000.0
ABT,15000.0
NTIC,15000.0
DMC,15000.0
OK,30000.0
FWC,30000.0
MTFS,30000.0
EPF,23000.0
JJN,23000.0
ABT,23000.0
JJN,9166.666666666666
ONH,9166.666666666666
SM,9166.666666666666
ALPA,9166.666666666666
MMM,9166.666666666666
LTSA,9166.666666666666
ONH,13333.333333333334
FWC,13333.333333333334
MTFS,13333.333333333334
TWM,18333.333333333332
LTSA,18333.333333333332
MZNA,18333.333333333332
LTSA,7500.0
CCSO,7500.0
NTIC,7500.0
KRM,7500.0
EG,7500.0
MTFS,7500.0
SM,19400.0
FWC,19400.0
HD,19400.0
TWM,19400.0
MPJ,19400.0
TWM,5500.0
HD,5500.0
PG,18000.0
FWC,18000.0
MZNA,18000.0
TWM,18000.0
NEK,18000.0
DMC,16166.666666666666
FWC,16166.666666666666
MZNA,16166.666666666666
ONH,16166.666666666666
KRM,16166.666666666666
ABT,16166.666666666666
EG,6428.571428571428
ABT,6428.571428571428
MMM,6428.571428571428
NEK,6428.571428571428
CCSO,6428.571428571428
SM,6428.571428571428
GMNA,6428.571428571428
LTSA,23000.0
MZNA,23000.0
OK,23000.0
LTSA,142857.14285714287
TWM,142857.14285714287
OK,142857.14285714287
NTIC,142857.14285714287
ONH,142857.14285714287
CCSO,142857.14285714287
MZNA,142857.14285714287
MTFS,5000.0
ONH,5000.0
TWM,5000.0
AB,5000.0
NEK,5000.0
GMNA,5000.0
PG,5000.0
ABC,5000.0
CCSO,5000.0
MTFS,333333.3333333333
ABT,333333.3333333333
TWM,333333.3333333333
MTFS,1666.6666666666667
ONH,1666.6666666666667
MZNA,1666.6666666666667
JJN,5444.444444444444
EPF,5444.444444444444
HD,5444.444444444444
CCSO,5444.444444444444
LTSA,5444.444444444444
KRM,5444.444444444444
DMC,5444.444444444444
PEP,5444.444444444444
TWM,5444.444444444444
OK,6875.0
MZNA,6875.0
TWM,6875.0
JJN,6875.0
PG,6875.0
KRM,6875.0
CCSO,6875.0
MPJ,6875.0
OCST,333.3333333333333
HD,333.3333333333333
SM,333.3333333333333
PG,111111.11111111111
DMC,111111.11111111111
GS,111111.11111111111
NTIC,111111.11111111111
SM,111111.11111111111
OCST,111111.11111111111
HD,111111.11111111111
NEK,111111.11111111111
OOGGL,111111.11111111111
ABC,1666.6666666666667
OCST,1666.6666666666667
JJN,1666.6666666666667
OK,8000.0
NTIC,8000.0
PG,8000.0
GMNA,8000.0
FWC,8000.0
OK,29333.333333333332
HD,29333.333333333332
PEP,29333.333333333332
HD,12125.0
OCST,12125.0
MPJ,12125.0
ALPA,12125.0
EPF,12125.0
KRM,12125.0
GS,12125.0
MMM,12125.0
ABT,16666.666666666668
ONH,16666.666666666668
MTFS,16666.666666666668
MTFS,9000.0
GS,9000.0
HD,9000.0
OCST,9000.0
NTIC,9000.0
NTIC,1666.6666666666667
OOGGL,1666.6666666666667
MTFS,1666.6666666666667
MTFS,8333.333333333334
EPF,8333.333333333334
ALPA,8333.333333333334
AB,8333.333333333334
HD,8333.333333333334
ABC,8333.333333333334
ABC,18000.0
FWC,18000.0
DMC,18000.0
MTFS,18000.0
GMNA,18000.0
OCST,12125.0
NEK,12125.0
AB,12125.0
ABC,12125.0
TCA,12125.0
ALPA,12125.0
EPF,12125.0
DMC,12125.0
FWC,11000.0
KRM,11000.0
MMM,11000.0
PG,11000.0
AB,11000.0
NEK,11000.0
ABC,11000.0
CCSO,11000.0
NEK,250000.0
MMM,250000.0
ONH,250000.0
PEP,250000.0
OK,14666.666666666666
EG,14666.666666666666
TWM,14666.666666666666
AB,14666.666666666666
PEP,14666.666666666666
GMNA,14666.666666666666
DMC,18333.333333333332
HD,18333.333333333332
AB,18333.333333333332
LTSA,16333.333333333334
ABT,16333.333333333334
MZNA,16333.333333333334
OOGGL,333333.3333333333
JJN,333333.3333333333
ALPA,333333.3333333333
HD,333333.3333333333
ABT,333333.3333333333
MMM,333333.3333333333
MZNA,9166.666666666666
ALPA,9166.666666666666
GMNA,9166.666666666666
TWM,9166.666666666666
NTIC,9166.666666666666
EG,9166.666666666666
MTFS,44000.0
PG,44000.0
SM,26666.666666666668
FWC,26666.666666666668
ALPA,26666.666666666668
EG,2500.0
ABC,2500.0
MZNA,2500.0
NTIC,2500.0
DMC,13333.333333333334
EG,13333.333333333334
SM,13333.333333333334
ABT,13333.333333333334
LTSA,13333.333333333334
AB,13333.333333333334
TWM,9800.0
AB,9800.0
LTSA,9800.0
NEK,9800.0
ABC,9800.0
JJN,10000.0
OK,10000.0
GMNA,10000.0
MMM,10000.0
TWM,4444.444444444444
JJN,4444.444444444444
PG,4444.444444444444
GMNA,4444.444444444444
AB,4444.444444444444
MZNA,4444.444444444444
HD,4444.444444444444
EG,4444.444444444444
MPJ,4444.444444444444
NEK,9000.0
PG,9000.0
CCSO,9000.0
FWC,9000.0
TWM,9000.0
MPJ,9000.0
MTFS,9000.0
EG,9000.0
PG,9000.0
OOGGL,9000.0
ONH,11000.0
EG,11000.0
GS,11000.0
GMNA,11000.0
FWC,11000.0
EPF,12857.142857142857
GMNA,12857.142857142857
LTSA,12857.142857142857
CCSO,12857.142857142857
PEP,12857.142857142857
ONH,12857.142857142857
GS,12857.142857142857
CCSO,12500.0
ONH,12500.0
OCST,12500.0
GMNA,12500.0
SM,17600.0
MZNA,17600.0
GMNA,17600.0
HD,17600.0
EG,17600.0
MPJ,1375.0
ONH,1375.0
AB,1375.0
MTFS,1375.0
OCST,1375.0
EG,1375.0
ABC,1375.0
NTIC,1375.0
MZNA,12857.142857142857
ALPA,12857.142857142857
DMC,12857.142857142857
SM,12857.142857142857
ONH,12857.142857142857
MTFS,12857.142857142857
CCSO,12857.142857142857
FWC,1250.0
NEK,1250.0
ONH,1250.0
MPJ,1250.0
MTFS,22500.0
TWM,22500.0
OK,29333.333333333332
GS,29333.333333333332
KRM,29333.333333333332
TWM,166666.66666666666
EPF,166666.66666666666
OCST,166666.66666666666
ONH,166666.66666666666
GMNA,166666.66666666666
FWC,166666.66666666666
ABT,12125.0
ONH,12125.0
PG,12125.0
FWC,12125.0
EPF,12125.0
ALPA,12125.0
JJN,12125.0
GMNA,12125.0
FWC,32333.333333333332
PEP,32333.333333333332
MZNA,32333.333333333332
AB,9800.0
NEK,9800.0
ONH,9800.0
OOGGL,9800.0
ABC,9800.0
EPF,200000.0
NTIC,200000.0
NEK,200000.0
TWM,200000.0
ABT,200000.0
HD,26666.666666666668
PG,26666.666666666668
DMC,26666.666666666668
NEK,16166.666666666666
ONH,16166.666666666666
OCST,16166.666666666666
LTSA,16166.666666666666
JJN,16166.666666666666
OOGGL,16166.666666666666
ALPA,10000.0
PEP,10000.0
MPJ,10000.0
GMNA,10000.0
OOGGL,10000.0
AB,10000.0
NTIC,10000.0
LTSA,10000.0
ABC,10000.0
MPJ,10000.0
OOGGL,16666.666666666668
ABC,16666.666666666668
TWM,16666.666666666668
HD,500.0
EPF,500.0
OK,12125.0
ABC,12125.0
AB,12125.0
MTFS,12125.0
PG,12125.0
KRM,12125.0
SM,12125.0
ALPA,12125.0
NEK,10000.0
ONH,10000.0
CCSO,10000.0
SM,10000.0
EG,10000.0
PEP,10000.0
LTSA,10000.0
MPJ,10000.0
GS,10000.0
OK,16666.666666666668
PEP,16666.666666666668
GS,16666.666666666668
NTIC,32333.333333333332
PG,32333.333333333332
OK,32333.333333333332
MMM,5444.444444444444
ONH,5444.444444444444
PEP,5444.444444444444
NTIC,5444.444444444444
OOGGL,5444.444444444444
SM,5444.444444444444
AB,5444.444444444444
PG,5444.444444444444
MTFS,5444.444444444444
HD,1222.2222222222222
OK,1222.2222222222222
ONH,1222.2222222222222
MZNA,1222.2222222222222
TWM,1222.2222222222222
SM,1222.2222222222222
MPJ,1222.2222222222222
KRM,1222.2222222222222
ALPA,1222.2222222222222
MPJ,13857.142857142857
GMNA,13857.142857142857
AB,13857.142857142857
ALPA,13857.142857142857
CCSO,13857.142857142857
OCST,13857.142857142857
ONH,13857.142857142857
MZNA,250000.0
OK,250000.0
ALPA,250000.0
ABT,250000.0
EG,22500.0
OCST,22500.0
TCA,22500.0
EPF,22500.0
NTIC,17250.0
GS,17250.0
KRM,17250.0
ABC,17250.0
TCA,19400.0
MPJ,19400.0
MTFS,19400.0
MZNA,19400.0
OOGGL,19400.0
AB,12571.42857142857
PG,12571.42857142857
NTIC,12571.42857142857
TCA,12571.42857142857
PEP,12571.42857142857
EG,12571.42857142857
LTSA,12571.42857142857
ABT,5444.444444444444
NEK,5444.444444444444
PG,5444.444444444444
KRM,5444.444444444444
TCA,5444.444444444444
MMM,5444.444444444444
GS,5444.444444444444
LTSA,5444.444444444444
OOGGL,5444.444444444444
PG,250000.0
OK,250000.0
OOGGL,250000.0
ONH,250000.0
TWM,45000.0
NEK,45000.0
PG,333.3333333333333
MTFS,333.3333333333333
AB,333.3333333333333
PEP,16333.333333333334
ABT,16333.333333333334
MZNA,16333.333333333334
OOGGL,125000.0
NEK,125000.0
EPF,125000.0
KRM,125000.0
SM,125000.0
OCST,125000.0
MTFS,125000.0
JJN,125000.0
OOGGL,7000.0
DMC,7000.0
OCST,7000.0
ONH,7000.0
MMM,7000.0
EG,7000.0
CCSO,7000.0
LTSA,1428.5714285714287
TWM,1428.5714285714287
EG,1428.5714285714287
ABT,1428.5714285714287
NEK,1428.5714285714287
AB,1428.5714285714287
CCSO,1428.5714285714287
MZNA,2000.0
CCSO,2000.0
DMC,2000.0
TWM,2000.0
NTIC,2000.0
ABC,20000.0
KRM,20000.0
FWC,500000.0
MMM,500000.0
CCSO,200.0
EG,200.0
EPF,200.0
ONH,200.0
FWC,200.0
OOGGL,142857.14285714287
KRM,142857.14285714287
PG,142857.14285714287
GS,142857.14285714287
GMNA,142857.14285714287
LTSA,142857.14285714287
ONH,142857.14285714287
GS,18000.0
MMM,18000.0
LTSA,18000.0
MTFS,18000.0
FWC,18000.0
EG,7857.142857142857
ONH,7857.142857142857
AB,7857.142857142857
OCST,7857.142857142857
MTFS,7857.142857142857
DMC,7857.142857142857
FWC,7857.142857142857
ALPA,12857.142857142857
MPJ,12857.142857142857
GMNA,12857.142857142857
MTFS,12857.142857142857
AB,12857.142857142857
MMM,12857.142857142857
OK,12857.142857142857
HD,1428.5714285714287
MMM,1428.5714285714287
TCA,1428.5714285714287
AB,1428.5714285714287
OOGGL,1428.5714285714287
PEP,1428.5714285714287
NEK,1428.5714285714287
OK,5000.0
SM,5000.0
ALPA,125000.0
PEP,125000.0
TCA,125000.0
GMNA,125000.0
OOGGL,125000.0
ABC,125000.0
MPJ,125000.0
ONH,125000.0
NTIC,11000.0
ABC,11000.0
ALPA,11000.0
DMC,11000.0
GS,11000.0
AB,250000.0
OCST,250000.0
LTSA,250000.0
SM,250000.0
EG,18333.333333333332
NEK,18333.333333333332
TCA,18333.333333333332
PG,13800.0
PEP,13800.0
HD,13800.0
LTSA,13800.0
TWM,13800.0
MMM,17600.0
ABC,17600.0
NTIC,17600.0
LTSA,17600.0
CCSO,17600.0
MZNA,714.2857142857143
ABT,714.2857142857143
ONH,714.2857142857143
GS,714.2857142857143
OOGGL,714.2857142857143
KRM,714.2857142857143
MPJ,714.2857142857143
ONH,2200.0
JJN,2200.0
FWC,2200.0
PG,2200.0
GS,2200.0
MTFS,11428.57142857143
ABC,11428.57142857143
SM,11428.57142857143
JJN,11428.57142857143
DMC,11428.57142857143
FWC,11428.57142857143
ABT,11428.57142857143
OOGGL,1428.5714285714287
FWC,1428.5714285714287
OCST,1428.5714285714287
MPJ,1428.5714285714287
MZNA,1428.5714285714287
NEK,1428.5714285714287
JJN,1428.5714285714287
EPF,5555.555555555556
KRM,5555.555555555556
PEP,5555.555555555556
SM,5555.555555555556
MTFS,5555.555555555556
NEK,5555.555555555556
GS,5555.555555555556
CCSO,5555.555555555556
AB,5555.555555555556
MZNA,10777.777777777777
KRM,10777.777777777777
GMNA,10777.777777777777
SM,10777.777777777777
JJN,10777.777777777777
AB,10777.777777777777
TCA,10777.777777777777
HD,10777.777777777777
PEP,10777.777777777777
MPJ,18000.0
NEK,18000.0
PG,18000.0
GS,18000.0
KRM,18000.0
ONH,6125.0
ABT,6125.0
FWC,6125.0
PG,6125.0
PEP,6125.0
CCSO,6125.0
GMNA,6125.0
DMC,6125.0
NEK,250.0
EPF,250.0
PEP,250.0
MZNA,250.0
OCST,142857.14285714287
EG,142857.14285714287
CCSO,142857.14285714287
ALPA,142857.14285714287
SM,142857.14285714287
ONH,142857.14285714287
MPJ,142857.14285714287
SM,12571.42857142857
NTIC,12571.42857142857
OCST,12571.42857142857
ONH,12571.42857142857
OOGGL,12571.42857142857
MMM,12571.42857142857
TCA,12571.42857142857
NTIC,5444.444444444444
ABT,5444.444444444444
GMNA,5444.444444444444
TWM,5444.444444444444
OCST,5444.444444444444
JJN,5444.444444444444
MMM,5444.444444444444
PG,5444.444444444444
MZNA,5444.444444444444
OOGGL,9166.666666666666
NEK,9166.666666666666
PEP,9166.666666666666
LTSA,9166.666666666666
MMM,9166.666666666666
SM,9166.666666666666
NEK,8166.666666666667
ABT,8166.666666666667
LTSA,8166.666666666667
SM,8166.666666666667
ALPA,8166.666666666667
GMNA,8166.666666666667
MPJ,5555.555555555556
GS,5555.555555555556
DMC,5555.555555555556
AB,5555.555555555556
MMM,5555.555555555556
MZNA,5555.555555555556
TCA,5555.555555555556
ONH,5555.555555555556
SM,5555.555555555556
AB,22500.0
EPF,22500.0
OCST,125.0
HD,125.0
NEK,125.0
MPJ,125.0
CCSO,125.0
GS,125.0
KRM,125.0
TWM,125.0
NTIC,250000.0
LTSA,250000.0
OK,250000.0
MMM,250000.0
DMC,250.0
NTIC,250.0
FWC,250.0
CCSO,250.0
SM,714.2857142857143
EG,714.2857142857143
AB,714.2857142857143
TCA,714.2857142857143
EPF,714.2857142857143
KRM,714.2857142857143
LTSA,714.2857142857143
EG,13333.333333333334
TCA,13333.333333333334
CCSO,13333.333333333334
EPF,333.3333333333333
CCSO,333.3333333333333
TCA,333.3333333333333
ABC,1111.111111111111
AB,1111.111111111111
MMM,1111.111111111111
JJN,1111.111111111111
LTSA,1111.111111111111
GS,1111.111111111111
SM,1111.111111111111
NEK,1111.111111111111
MZNA,1111.111111111111
SM,500.0
TWM,500.0
CCSO,1000.0
AB,1000.0
FWC,1000.0
DMC,1000.0
EPF,1000.0
ONH,19400.0
AB,19400.0
MPJ,19400.0
CCSO,19400.0
ALPA,19400.0
GMNA,7500.0
DMC,7500.0
CCSO,7500.0
GS,7500.0
TWM,7500.0
MPJ,7500.0
ABT,3333.3333333333335
OOGGL,3333.3333333333335
NEK,3333.3333333333335
NTIC,1666.6666666666667
OCST,1666.6666666666667
GMNA,1666.6666666666667
PG,1666.6666666666667
MPJ,1666.6666666666667
EG,1666.6666666666667
NTIC,4444.444444444444
CCSO,4444.444444444444
LTSA,4444.444444444444
FWC,4444.444444444444
DMC,4444.444444444444
MTFS,4444.444444444444
PEP,4444.444444444444
SM,4444.444444444444
NEK,4444.444444444444
ONH,2500.0
GS,2500.0
AB,2500.0
MZNA,2500.0
OK,142857.14285714287
ABT,142857.14285714287
PEP,142857.14285714287
NTIC,142857.14285714287
ONH,142857.14285714287
MMM,142857.14285714287
PG,142857.14285714287
SM,2000.0
MTFS,2000.0
CCSO,2000.0
OK,2000.0
MMM,2000.0
PG,13750.0
ABT,13750.0
HD,13750.0
MMM,13750.0
JJN,24500.0
FWC,24500.0
MZNA,166666.66666666666
NTIC,166666.66666666666
CCSO,166666.66666666666
OCST,166666.66666666666
GMNA,166666.66666666666
MTFS,166666.66666666666
NTIC,555.5555555555555
MTFS,555.5555555555555
ABC,555.5555555555555
ABT,555.5555555555555
JJN,555.5555555555555
LTSA,555.5555555555555
NEK,555.5555555555555
TWM,555.5555555555555
TCA,555.5555555555555
GMNA,833.3333333333334
OK,833.3333333333334
AB,833.3333333333334
HD,833.3333333333334
LTSA,833.3333333333334
ABC,833.3333333333334
DMC,10000.0
MMM,10000.0
TCA,10000.0
HD,10000.0
PG,10000.0
ALPA,5000.0
EPF,5000.0
MZNA,5000.0
OCST,5000.0
NTIC,5000.0
MPJ,5000.0
GMNA,5000.0
JJN,5000.0
SM,5000.0
HD,24500.0
NTIC,24500.0
TCA,6875.0
MMM,6875.0
EG,6875.0
AB,6875.0
GS,6875.0
OCST,6875.0
EPF,6875.0
ALPA,6875.0
EG,23000.0
HD,23000.0
PG,23000.0
MZNA,16333.333333333334
ABT,16333.333333333334
EG,16333.333333333334
EG,9800.0
JJN,9800.0
MTFS,9800.0
MZNA,9800.0
KRM,9800.0
NEK,6875.0
EPF,6875.0
ONH,6875.0
ALPA,6875.0
MTFS,6875.0
SM,6875.0
OK,6875.0
TWM,6875.0
OOGGL,200.0
AB,200.0
ABT,200.0
LTSA,200.0
MMM,200.0
MZNA,20000.0
