PORTFOLIO,INITIAL_INVESTMENT_STOCKS,MEMBER_ID
ALPA,111.11111111111111,MID000015
TWM,111.11111111111111,MID000015
HD,111.11111111111111,MID000015
KRM,111.11111111111111,MID000015
EG,111.11111111111111,MID000015
NTIC,111.11111111111111,MID000015
GMNA,9800.0,MID000016
AB,9800.0,MID000016
MTFS,9800.0,MID000016
MPJ,9800.0,MID000016
MMM,9800.0,MID000016
PG,6428.571428571428,MID000017
HD,6428.571428571428,MID000017
MZNA,6428.571428571428,MID000017
OOGGL,6428.571428571428,MID000017
KRM,6428.571428571428,MID000017
EG,6428.571428571428,MID000017
AB,6428.571428571428,MID000017
FWC,12250.0,MID000018
TWM,12250.0,MID000018
JJN,12250.0,MID000018
HD,12250.0,MID000018
JJN,714.2857142857143,MID000019
SM,714.2857142857143,MID000019
TCA,714.2857142857143,MID000019
ONH,714.2857142857143,MID000019
ALPA,714.2857142857143,MID000019
LTSA,714.2857142857143,MID000019
TWM,714.2857142857143,MID000019
TCA,250.0,MID000020
OCST,250.0,MID000020
PG,250.0,MID000020
NTIC,250.0,MID000020
TCA,8888.888888888889,MID000021
HD,8888.888888888889,MID000021
MMM,8888.888888888889,MID000021
LTSA,8888.888888888889,MID000021
ABT,8888.888888888889,MID000021
DMC,8888.888888888889,MID000021
AB,8888.888888888889,MID000021
OCST,8888.888888888889,MID000021
OOGGL,8888.888888888889,MID000021
NTIC,22000.0,MID000022
GS,22000.0,MID000022
ALPA,22000.0,MID000022
DMC,22000.0,MID000022
CCSO,250000.0,MID000023
OOGGL,250000.0,MID000023
KRM,250000.0,MID000023
TWM,250000.0,MID000023
CCSO,333.3333333333333,MID000024
DMC,333.3333333333333,MID000024
ABT,333.3333333333333,MID000024
OOGGL,44000.0,MID000025
MZNA,44000.0,MID000025
DMC,13800.0,MID000026
NTIC,13800.0,MID000026
ABT,13800.0,MID000026
CCSO,13800.0,MID000026
OK,13800.0,MID000026
EPF,29333.333333333332,MID000027
EG,29333.333333333332,MID000027
NTIC,29333.333333333332,MID000027
DMC,5000.0,MID000028
MTFS,5000.0,MID000028
ABC,4444.444444444444,MID000029
JJN,4444.444444444444,MID000029
KRM,4444.444444444444,MID000029
PG,4444.444444444444,MID000029
SM,4444.444444444444,MID000029
OCST,4444.444444444444,MID000029
NTIC,4444.444444444444,MID000029
GS,4444.444444444444,MID000029
NEK,4444.444444444444,MID000029
PEP,2000.0,MID000030
ONH,2000.0,MID000030
CCSO,2000.0,MID000030
ALPA,2000.0,MID000030
OK,2000.0,MID000030
TWM,26666.666666666668,MID000031
KRM,26666.666666666668,MID000031
PEP,26666.666666666668,MID000031
ABC,16333.333333333334,MID000032
PEP,16333.333333333334,MID000032
ONH,16333.333333333334,MID000032
PG,1666.6666666666667,MID000033
TWM,1666.6666666666667,MID000033
NTIC,1666.6666666666667,MID000033
MZNA,1666.6666666666667,MID000033
DMC,1666.6666666666667,MID000033
MMM,1666.6666666666667,MID000033
ABT,11500.0,MID000034
OK,11500.0,MID000034
SM,11500.0,MID000034
EPF,11500.0,MID000034
TWM,11500.0,MID000034
TCA,11500.0,MID000034
PG,11250.0,MID000035
JJN,11250.0,MID000035
CCSO,11250.0,MID000035
EPF,11250.0,MID000035
ALPA,24500.0,MID000036
SM,24500.0,MID000036
KRM,9777.777777777777,MID000037
ABC,9777.777777777777,MID000037
MPJ,9777.777777777777,MID000037
PEP,9777.777777777777,MID000037
DMC,9777.777777777777,MID000037
OOGGL,9777.777777777777,MID000037
MMM,9777.777777777777,MID000037
TWM,9777.777777777777,MID000037
JJN,9777.777777777777,MID000037
EG,30000.0,MID000038
PG,30000.0,MID000038
MMM,30000.0,MID000038
TCA,20000.0,MID000039
NEK,20000.0,MID000039
MMM,20000.0,MID000039
EPF,20000.0,MID000039
TWM,9166.666666666666,MID000040
DMC,9166.666666666666,MID000040
ONH,9166.666666666666,MID000040
MTFS,9166.666666666666,MID000040
MPJ,9166.666666666666,MID000040
EG,9166.666666666666,MID000040
LTSA,20000.0,MID000041
ONH,20000.0,MID000041
DMC,20000.0,MID000041
TCA,20000.0,MID000041
TWM,333.3333333333333,MID000042
EG,333.3333333333333,MID000042
OOGGL,333.3333333333333,MID000042
OOGGL,7500.0,MID000043
PG,7500.0,MID000043
PEP,7500.0,MID000043
TWM,7500.0,MID000043
JJN,7500.0,MID000043
DMC,7500.0,MID000043
TWM,6125.0,MID000044
GMNA,6125.0,MID000044
LTSA,6125.0,MID000044
ALPA,6125.0,MID000044
SM,6125.0,MID000044
PG,6125.0,MID000044
NEK,6125.0,MID000044
TCA,6125.0,MID000044
PEP,27500.0,MID000045
NTIC,27500.0,MID000045
ALPA,9777.777777777777,MID000046
PG,9777.777777777777,MID000046
MTFS,9777.777777777777,MID000046
LTSA,9777.777777777777,MID000046
OK,9777.777777777777,MID000046
ONH,9777.777777777777,MID000046
ABT,9777.777777777777,MID000046
JJN,9777.777777777777,MID000046
TWM,9777.777777777777,MID000046
ABC,2500.0,MID000047
OK,2500.0,MID000047
JJN,2500.0,MID000047
LTSA,2500.0,MID000047
LTSA,1666.6666666666667,MID000048
ONH,1666.6666666666667,MID000048
FWC,1666.6666666666667,MID000048
ABT,1666.6666666666667,MID000048
ALPA,1666.6666666666667,MID000048
KRM,1666.6666666666667,MID000048
NTIC,13333.333333333334,MID000049
MMM,13333.333333333334,MID000049
FWC,13333.333333333334,MID000049
EPF,13333.333333333334,MID000049
KRM,13333.333333333334,MID000049
DMC,13333.333333333334,MID000049
FWC,5555.555555555556,MID000050
TWM,5555.555555555556,MID000050
NTIC,5555.555555555556,MID000050
LTSA,5555.555555555556,MID000050
EPF,5555.555555555556,MID000050
GS,5555.555555555556,MID000050
TCA,5555.555555555556,MID000050
PEP,5555.555555555556,MID000050
OCST,5555.555555555556,MID000050
SM,166.66666666666666,MID000051
TWM,166.66666666666666,MID000051
NEK,166.66666666666666,MID000051
PG,166.66666666666666,MID000051
OCST,166.66666666666666,MID000051
LTSA,166.66666666666666,MID000051
SM,11250.0,MID000052
NEK,11250.0,MID000052
MMM,11250.0,MID000052
EPF,11250.0,MID000052
HD,1000.0,MID000053
NEK,1000.0,MID000053
LTSA,1000.0,MID000053
GS,1000.0,MID000053
ONH,1000.0,MID000053
NTIC,714.2857142857143,MID000054
MMM,714.2857142857143,MID000054
JJN,714.2857142857143,MID000054
OOGGL,714.2857142857143,MID000054
TCA,714.2857142857143,MID000054
HD,714.2857142857143,MID000054
MPJ,714.2857142857143,MID000054
MMM,125.0,MID000055
ONH,125.0,MID000055
EPF,125.0,MID000055
MTFS,125.0,MID000055
LTSA,125.0,MID000055
MPJ,125.0,MID000055
TCA,125.0,MID000055
MZNA,125.0,MID000055
MZNA,12250.0,MID000056
SM,12250.0,MID000056
TWM,12250.0,MID000056
OCST,12250.0,MID000056
HD,24250.0,MID000057
OCST,24250.0,MID000057
CCSO,24250.0,MID000057
ABC,24250.0,MID000057
PG,2750.0,MID000058
ALPA,2750.0,MID000058
JJN,2750.0,MID000058
MZNA,2750.0,MID000058
GS,3333.3333333333335,MID000059
JJN,3333.3333333333335,MID000059
NEK,3333.3333333333335,MID000059
JJN,14666.666666666666,MID000060
NEK,14666.666666666666,MID000060
GS,14666.666666666666,MID000060
AB,14666.666666666666,MID000060
FWC,14666.666666666666,MID000060
OCST,14666.666666666666,MID000060
DMC,5625.0,MID000061
MZNA,5625.0,MID000061
ABC,5625.0,MID000061
OOGGL,5625.0,MID000061
FWC,5625.0,MID000061
NTIC,5625.0,MID000061
OK,5625.0,MID000061
ONH,5625.0,MID000061
TCA,6250.0,MID000062
NTIC,6250.0,MID000062
AB,6250.0,MID000062
ABT,6250.0,MID000062
LTSA,6250.0,MID000062
MZNA,6250.0,MID000062
ABC,6250.0,MID000062
MMM,6250.0,MID000062
OCST,200.0,MID000063
ABT,200.0,MID000063
OK,200.0,MID000063
PG,200.0,MID000063
ABC,200.0,MID000063
OK,333333.3333333333,MID000064
MTFS,333333.3333333333,MID000064
ALPA,333333.3333333333,MID000064
LTSA,142857.14285714287,MID000065
GMNA,142857.14285714287,MID000065
NTIC,142857.14285714287,MID000065
ABT,142857.14285714287,MID000065
SM,142857.14285714287,MID000065
CCSO,142857.14285714287,MID000065
NEK,142857.14285714287,MID000065
MMM,250000.0,MID000066
TWM,250000.0,MID000066
SM,250000.0,MID000066
PEP,250000.0,MID000066
SM,7666.666666666667,MID000067
TCA,7666.666666666667,MID000067
AB,7666.666666666667,MID000067
ABT,7666.666666666667,MID000067
LTSA,7666.666666666667,MID000067
ONH,7666.666666666667,MID000067
HD,7666.666666666667,MID000067
GMNA,7666.666666666667,MID000067
DMC,7666.666666666667,MID000067
MTFS,16000.0,MID000068
ONH,16000.0,MID000068
CCSO,16000.0,MID000068
TCA,16000.0,MID000068
MMM,16000.0,MID000068
JJN,8166.666666666667,MID000069
EG,8166.666666666667,MID000069
MZNA,8166.666666666667,MID000069
KRM,8166.666666666667,MID000069
PG,8166.666666666667,MID000069
EPF,8166.666666666667,MID000069
GS,16333.333333333334,MID000070
HD,16333.333333333334,MID000070
MZNA,16333.333333333334,MID000070
NEK,34500.0,MID000071
PG,34500.0,MID000071
ALPA,8333.333333333334,MID000072
ABT,8333.333333333334,MID000072
FWC,8333.333333333334,MID000072
EPF,8333.333333333334,MID000072
TWM,8333.333333333334,MID000072
LTSA,8333.333333333334,MID000072
HD,6250.0,MID000073
PG,6250.0,MID000073
NTIC,6250.0,MID000073
NEK,6250.0,MID000073
KRM,6250.0,MID000073
FWC,6250.0,MID000073
EPF,6250.0,MID000073
MMM,6250.0,MID000073
JJN,3333.3333333333335,MID000074
GMNA,3333.3333333333335,MID000074
EG,3333.3333333333335,MID000074
ONH,125000.0,MID000075
NEK,125000.0,MID000075
HD,125000.0,MID000075
GS,125000.0,MID000075
AB,125000.0,MID000075
ABC,125000.0,MID000075
TCA,125000.0,MID000075
LTSA,125000.0,MID000075
TWM,2500.0,MID000076
AB,2500.0,MID000076
OCST,25000.0,MID000077
KRM,25000.0,MID000077
GMNA,17250.0,MID000078
AB,17250.0,MID000078
KRM,17250.0,MID000078
NEK,17250.0,MID000078
DMC,16666.666666666668,MID000079
OOGGL,16666.666666666668,MID000079
MZNA,16666.666666666668,MID000079
ONH,24500.0,MID000080
OK,24500.0,MID000080
ABT,1250.0,MID000081
FWC,1250.0,MID000081
CCSO,1250.0,MID000081
OOGGL,1250.0,MID000081
NEK,166666.66666666666,MID000082
MZNA,166666.66666666666,MID000082
HD,166666.66666666666,MID000082
EG,166666.66666666666,MID000082
DMC,166666.66666666666,MID000082
LTSA,166666.66666666666,MID000082
MZNA,1222.2222222222222,MID000083
GS,1222.2222222222222,MID000083
JJN,1222.2222222222222,MID000083
EG,1222.2222222222222,MID000083
MPJ,1222.2222222222222,MID000083
ABT,1222.2222222222222,MID000083
SM,1222.2222222222222,MID000083
ABC,1222.2222222222222,MID000083
PEP,1222.2222222222222,MID000083
GS,9777.777777777777,MID000084
ALPA,9777.777777777777,MID000084
ABT,9777.777777777777,MID000084
JJN,9777.777777777777,MID000084
ONH,9777.777777777777,MID000084
KRM,9777.777777777777,MID000084
LTSA,9777.777777777777,MID000084
EPF,9777.777777777777,MID000084
MZNA,9777.777777777777,MID000084
NTIC,5444.444444444444,MID000085
GMNA,5444.444444444444,MID000085
TWM,5444.444444444444,MID000085
LTSA,5444.444444444444,MID000085
PG,5444.444444444444,MID000085
ONH,5444.444444444444,MID000085
OK,5444.444444444444,MID000085
JJN,5444.444444444444,MID000085
AB,5444.444444444444,MID000085
FWC,22500.0,MID000086
JJN,22500.0,MID000086
ABC,22500.0,MID000086
MPJ,22500.0,MID000086
TCA,17600.0,MID000087
ABC,17600.0,MID000087
OCST,17600.0,MID000087
MTFS,17600.0,MID000087
MMM,17600.0,MID000087
LTSA,11000.0,MID000088
OOGGL,11000.0,MID000088
MTFS,11000.0,MID000088
MZNA,11000.0,MID000088
DMC,11000.0,MID000088
ONH,11000.0,MID000088
EPF,11000.0,MID000088
TCA,11000.0,MID000088
OCST,7857.142857142857,MID000089
DMC,7857.142857142857,MID000089
PG,7857.142857142857,MID000089
EPF,7857.142857142857,MID000089
ABT,7857.142857142857,MID000089
MMM,7857.142857142857,MID000089
EG,7857.142857142857,MID000089
CCSO,7500.0,MID000090
NEK,7500.0,MID000090
AB,7500.0,MID000090
DMC,7500.0,MID000090
FWC,7500.0,MID000090
OCST,7500.0,MID000090
SM,10000.0,MID000091
MZNA,10000.0,MID000091
KRM,10000.0,MID000091
TWM,10000.0,MID000091
NTIC,10000.0,MID000091
CCSO,10000.0,MID000091
AB,10000.0,MID000091
LTSA,10000.0,MID000091
PEP,10000.0,MID000091
MZNA,111111.11111111111,MID000092
NEK,111111.11111111111,MID000092
AB,111111.11111111111,MID000092
KRM,111111.11111111111,MID000092
OK,111111.11111111111,MID000092
MPJ,111111.11111111111,MID000092
TWM,111111.11111111111,MID000092
LTSA,111111.11111111111,MID000092
ABC,111111.11111111111,MID000092
TWM,19400.0,MID000093
ONH,19400.0,MID000093
LTSA,19400.0,MID000093
NTIC,19400.0,MID000093
DMC,19400.0,MID000093
PG,20000.0,MID000094
EPF,20000.0,MID000094
MTFS,20000.0,MID000094
NTIC,20000.0,MID000094
ABC,7000.0,MID000095
AB,7000.0,MID000095
FWC,7000.0,MID000095
LTSA,7000.0,MID000095
OOGGL,7000.0,MID000095
GS,7000.0,MID000095
KRM,7000.0,MID000095
ABT,15000.0,MID000096
NTIC,15000.0,MID000096
DMC,15000.0,MID000096
OK,30000.0,MID000097
FWC,30000.0,MID000097
MTFS,30000.0,MID000097
EPF,23000.0,MID000098
JJN,23000.0,MID000098
ABT,23000.0,MID000098
JJN,9166.666666666666,MID000099
ONH,9166.666666666666,MID000099
SM,9166.666666666666,MID000099
ALPA,9166.666666666666,MID000099
MMM,9166.666666666666,MID000099
LTSA,9166.666666666666,MID000099
ONH,13333.333333333334,MID000100
FWC,13333.333333333334,MID000100
MTFS,13333.333333333334,MID000100
TWM,18333.333333333332,MID000101
LTSA,18333.333333333332,MID000101
MZNA,18333.333333333332,MID000101
LTSA,7500.0,MID000102
CCSO,7500.0,MID000102
NTIC,7500.0,MID000102
KRM,7500.0,MID000102
EG,7500.0,MID000102
MTFS,7500.0,MID000102
SM,19400.0,MID000103
FWC,19400.0,MID000103
HD,19400.0,MID000103
TWM,19400.0,MID000103
MPJ,19400.0,MID000103
TWM,5500.0,MID000104
HD,5500.0,MID000104
PG,18000.0,MID000105
FWC,18000.0,MID000105
MZNA,18000.0,MID000105
TWM,18000.0,MID000105
NEK,18000.0,MID000105
DMC,16166.666666666666,MID000106
FWC,16166.666666666666,MID000106
MZNA,16166.666666666666,MID000106
ONH,16166.666666666666,MID000106
KRM,16166.666666666666,MID000106
ABT,16166.666666666666,MID000106
EG,6428.571428571428,MID000107
ABT,6428.571428571428,MID000107
MMM,6428.571428571428,MID000107
NEK,6428.571428571428,MID000107
CCSO,6428.571428571428,MID000107
SM,6428.571428571428,MID000107
GMNA,6428.571428571428,MID000107
LTSA,23000.0,MID000108
MZNA,23000.0,MID000108
OK,23000.0,MID000108
LTSA,142857.14285714287,MID000109
TWM,142857.14285714287,MID000109
OK,142857.14285714287,MID000109
NTIC,142857.14285714287,MID000109
ONH,142857.14285714287,MID000109
CCSO,142857.14285714287,MID000109
MZNA,142857.14285714287,MID000109
MTFS,5000.0,MID000110
ONH,5000.0,MID000110
TWM,5000.0,MID000110
AB,5000.0,MID000110
NEK,5000.0,MID000110
GMNA,5000.0,MID000110
PG,5000.0,MID000110
ABC,5000.0,MID000110
CCSO,5000.0,MID000110
MTFS,333333.3333333333,MID000111
ABT,333333.3333333333,MID000111
TWM,333333.3333333333,MID000111
MTFS,1666.6666666666667,MID000112
ONH,1666.6666666666667,MID000112
MZNA,1666.6666666666667,MID000112
JJN,5444.444444444444,MID000113
EPF,5444.444444444444,MID000113
HD,5444.444444444444,MID000113
CCSO,5444.444444444444,MID000113
LTSA,5444.444444444444,MID000113
KRM,5444.444444444444,MID000113
DMC,5444.444444444444,MID000113
PEP,5444.444444444444,MID000113
TWM,5444.444444444444,MID000113
OK,6875.0,MID000114
MZNA,6875.0,MID000114
TWM,6875.0,MID000114
JJN,6875.0,MID000114
PG,6875.0,MID000114
KRM,6875.0,MID000114
CCSO,6875.0,MID000114
MPJ,6875.0,MID000114
OCST,333.3333333333333,MID000115
HD,333.3333333333333,MID000115
SM,333.3333333333333,MID000115
PG,111111.11111111111,MID000116
DMC,111111.11111111111,MID000116
GS,111111.11111111111,MID000116
NTIC,111111.11111111111,MID000116
SM,111111.11111111111,MID000116
OCST,111111.11111111111,MID000116
HD,111111.11111111111,MID000116
NEK,111111.11111111111,MID000116
OOGGL,111111.11111111111,MID000116
ABC,1666.6666666666667,MID000117
OCST,1666.6666666666667,MID000117
JJN,1666.6666666666667,MID000117
OK,8000.0,MID000118
NTIC,8000.0,MID000118
PG,8000.0,MID000118
GMNA,8000.0,MID000118
FWC,8000.0,MID000118
OK,29333.333333333332,MID000119
HD,29333.333333333332,MID000119
PEP,29333.333333333332,MID000119
HD,12125.0,MID000120
OCST,12125.0,MID000120
MPJ,12125.0,MID000120
ALPA,12125.0,MID000120
EPF,12125.0,MID000120
KRM,12125.0,MID000120
GS,12125.0,MID000120
MMM,12125.0,MID000120
ABT,16666.666666666668,MID000121
ONH,16666.666666666668,MID000121
MTFS,16666.666666666668,MID000121
MTFS,9000.0,MID000122
GS,9000.0,MID000122
HD,9000.0,MID000122
OCST,9000.0,MID000122
NTIC,9000.0,MID000122
NTIC,1666.6666666666667,MID000123
OOGGL,1666.6666666666667,MID000123
MTFS,1666.6666666666667,MID000123
MTFS,8333.333333333334,MID000124
EPF,8333.333333333334,MID000124
ALPA,8333.333333333334,MID000124
AB,8333.333333333334,MID000124
HD,8333.333333333334,MID000124
ABC,8333.333333333334,MID000124
ABC,18000.0,MID000125
FWC,18000.0,MID000125
DMC,18000.0,MID000125
MTFS,18000.0,MID000125
GMNA,18000.0,MID000125
OCST,12125.0,MID000126
NEK,12125.0,MID000126
AB,12125.0,MID000126
ABC,12125.0,MID000126
TCA,12125.0,MID000126
ALPA,12125.0,MID000126
EPF,12125.0,MID000126
DMC,12125.0,MID000126
FWC,11000.0,MID000127
KRM,11000.0,MID000127
MMM,11000.0,MID000127
PG,11000.0,MID000127
AB,11000.0,MID000127
NEK,11000.0,MID000127
ABC,11000.0,MID000127
CCSO,11000.0,MID000127
NEK,250000.0,MID000128
MMM,250000.0,MID000128
ONH,250000.0,MID000128
PEP,250000.0,MID000128
OK,14666.666666666666,MID000129
EG,14666.666666666666,MID000129
TWM,14666.666666666666,MID000129
AB,14666.666666666666,MID000129
PEP,14666.666666666666,MID000129
GMNA,14666.666666666666,MID000129
DMC,18333.333333333332,MID000130
HD,18333.333333333332,MID000130
AB,18333.333333333332,MID000130
LTSA,16333.333333333334,MID000131
ABT,16333.333333333334,MID000131
MZNA,16333.333333333334,MID000131
OOGGL,333333.3333333333,MID000132
JJN,333333.3333333333,MID000132
ALPA,333333.3333333333,MID000132
HD,333333.3333333333,MID000133
ABT,333333.3333333333,MID000133
MMM,333333.3333333333,MID000133
MZNA,9166.666666666666,MID000134
ALPA,9166.666666666666,MID000134
GMNA,9166.666666666666,MID000134
TWM,9166.666666666666,MID000134
NTIC,9166.666666666666,MID000134
EG,9166.666666666666,MID000134
MTFS,44000.0,MID000135
PG,44000.0,MID000135
SM,26666.666666666668,MID000136
FWC,26666.666666666668,MID000136
ALPA,26666.666666666668,MID000136
EG,2500.0,MID000137
ABC,2500.0,MID000137
MZNA,2500.0,MID000137
NTIC,2500.0,MID000137
DMC,13333.333333333334,MID000138
EG,13333.333333333334,MID000138
SM,13333.333333333334,MID000138
ABT,13333.333333333334,MID000138
LTSA,13333.333333333334,MID000138
AB,13333.333333333334,MID000138
TWM,9800.0,MID000139
AB,9800.0,MID000139
LTSA,9800.0,MID000139
NEK,9800.0,MID000139
ABC,9800.0,MID000139
JJN,10000.0,MID000140
OK,10000.0,MID000140
GMNA,10000.0,MID000140
MMM,10000.0,MID000140
TWM,4444.444444444444,MID000141
JJN,4444.444444444444,MID000141
PG,4444.444444444444,MID000141
GMNA,4444.444444444444,MID000141
AB,4444.444444444444,MID000141
MZNA,4444.444444444444,MID000141
HD,4444.444444444444,MID000141
EG,4444.444444444444,MID000141
MPJ,4444.444444444444,MID000141
NEK,9000.0,MID000142
PG,9000.0,MID000142
CCSO,9000.0,MID000142
FWC,9000.0,MID000142
TWM,9000.0,MID000142
MPJ,9000.0,MID000143
MTFS,9000.0,MID000143
EG,9000.0,MID000143
PG,9000.0,MID000143
OOGGL,9000.0,MID000143
ONH,11000.0,MID000144
EG,11000.0,MID000144
GS,11000.0,MID000144
GMNA,11000.0,MID000144
FWC,11000.0,MID000144
EPF,12857.142857142857,MID000145
GMNA,12857.142857142857,MID000145
LTSA,12857.142857142857,MID000145
CCSO,12857.142857142857,MID000145
PEP,12857.142857142857,MID000145
ONH,12857.142857142857,MID000145
GS,12857.142857142857,MID000145
CCSO,12500.0,MID000146
ONH,12500.0,MID000146
OCST,12500.0,MID000146
GMNA,12500.0,MID000146
SM,17600.0,MID000147
MZNA,17600.0,MID000147
GMNA,17600.0,MID000147
HD,17600.0,MID000147
EG,17600.0,MID000147
MPJ,1375.0,MID000148
ONH,1375.0,MID000148
AB,1375.0,MID000148
MTFS,1375.0,MID000148
OCST,1375.0,MID000148
EG,1375.0,MID000148
ABC,1375.0,MID000148
NTIC,1375.0,MID000148
MZNA,12857.142857142857,MID000149
ALPA,12857.142857142857,MID000149
DMC,12857.142857142857,MID000149
SM,12857.142857142857,MID000149
ONH,12857.142857142857,MID000149
MTFS,12857.142857142857,MID000149
CCSO,12857.142857142857,MID000149
FWC,1250.0,MID000150
NEK,1250.0,MID000150
ONH,1250.0,MID000150
MPJ,1250.0,MID000150
MTFS,22500.0,MID000151
TWM,22500.0,MID000151
OK,29333.333333333332,MID000152
GS,29333.333333333332,MID000152
KRM,29333.333333333332,MID000152
TWM,166666.66666666666,MID000153
EPF,166666.66666666666,MID000153
OCST,166666.66666666666,MID000153
ONH,166666.66666666666,MID000153
GMNA,166666.66666666666,MID000153
FWC,166666.66666666666,MID000153
ABT,12125.0,MID000154
ONH,12125.0,MID000154
PG,12125.0,MID000154
FWC,12125.0,MID000154
EPF,12125.0,MID000154
ALPA,12125.0,MID000154
JJN,12125.0,MID000154
GMNA,12125.0,MID000154
FWC,32333.333333333332,MID000155
PEP,32333.333333333332,MID000155
MZNA,32333.333333333332,MID000155
AB,9800.0,MID000156
NEK,9800.0,MID000156
ONH,9800.0,MID000156
OOGGL,9800.0,MID000156
ABC,9800.0,MID000156
EPF,200000.0,MID000157
NTIC,200000.0,MID000157
NEK,200000.0,MID000157
TWM,200000.0,MID000157
ABT,200000.0,MID000157
HD,26666.666666666668,MID000158
PG,26666.666666666668,MID000158
DMC,26666.666666666668,MID000158
NEK,16166.666666666666,MID000159
ONH,16166.666666666666,MID000159
OCST,16166.666666666666,MID000159
LTSA,16166.666666666666,MID000159
JJN,16166.666666666666,MID000159
OOGGL,16166.666666666666,MID000159
ALPA,10000.0,MID000160
PEP,10000.0,MID000160
MPJ,10000.0,MID000160
GMNA,10000.0,MID000160
OOGGL,10000.0,MID000160
AB,10000.0,MID000161
NTIC,10000.0,MID000161
LTSA,10000.0,MID000161
ABC,10000.0,MID000161
MPJ,10000.0,MID000161
OOGGL,16666.666666666668,MID000162
ABC,16666.666666666668,MID000162
TWM,16666.666666666668,MID000162
HD,500.0,MID000163
EPF,500.0,MID000163
OK,12125.0,MID000164
ABC,12125.0,MID000164
AB,12125.0,MID000164
MTFS,12125.0,MID000164
PG,12125.0,MID000164
KRM,12125.0,MID000164
SM,12125.0,MID000164
ALPA,12125.0,MID000164
NEK,10000.0,MID000165
ONH,10000.0,MID000165
CCSO,10000.0,MID000165
SM,10000.0,MID000165
EG,10000.0,MID000165
PEP,10000.0,MID000165
LTSA,10000.0,MID000165
MPJ,10000.0,MID000165
GS,10000.0,MID000165
OK,16666.666666666668,MID000166
PEP,16666.666666666668,MID000166
GS,16666.666666666668,MID000166
NTIC,32333.333333333332,MID000167
PG,32333.333333333332,MID000167
OK,32333.333333333332,MID000167
MMM,5444.444444444444,MID000168
ONH,5444.444444444444,MID000168
PEP,5444.444444444444,MID000168
NTIC,5444.444444444444,MID000168
OOGGL,5444.444444444444,MID000168
SM,5444.444444444444,MID000168
AB,5444.444444444444,MID000168
PG,5444.444444444444,MID000168
MTFS,5444.444444444444,MID000168
HD,1222.2222222222222,MID000169
OK,1222.2222222222222,MID000169
ONH,1222.2222222222222,MID000169
MZNA,1222.2222222222222,MID000169
TWM,1222.2222222222222,MID000169
SM,1222.2222222222222,MID000169
MPJ,1222.2222222222222,MID000169
KRM,1222.2222222222222,MID000169
ALPA,1222.2222222222222,MID000169
MPJ,13857.142857142857,MID000170
GMNA,13857.142857142857,MID000170
AB,13857.142857142857,MID000170
ALPA,13857.142857142857,MID000170
CCSO,13857.142857142857,MID000170
OCST,13857.142857142857,MID000170
ONH,13857.142857142857,MID000170
