MEMBER_ID,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID000193,"$12,868.84","$12,415.72","$2,780.88",,,12.20%,1.0316
MID000194,"$1,290,030.06","$1,273,427.87","$286,800.60",,,16.40%,1.0113
MID000195,"$71,926.18","$70,520.96","$15,444.01",,,12.00%,1.0960
MID000196,"$1,291,885.07","$1,257,393.42","$284,659.49",,,14.60%,1.0254
MID000197,"$70,119.84","$69,343.20","$15,077.92",,,14.80%,1.0028
MID000198,"$88,444.63","$86,970.08","$18,485.51",,,14.60%,1.0519
MID000199,"$114,943.00","$110,669.93","$24,670.60",,,12.40%,1.0921
MID000200,"$6,541.68","$6,353.01","$1,427.40",,,12.60%,1.0801
MID000201,"$14,054.52","$13,765.64","$2,908.39",,,12.80%,1.0502
MID000202,"$102,662.32","$98,654.86","$22,452.55",,,13.80%,1.0093
MID000203,"$13,273.13","$13,032.22","$2,814.05",,,10.00%,1.1631
MID000204,"$64,406.25","$63,142.66","$13,398.45",,,14.40%,1.0752
MID000205,"$121,810.65","$119,728.89","$25,733.91",,,16.00%,0.9641
MID000206,"$117,819.95","$115,094.53","$26,614.26",,,15.60%,1.0453
MID000207,"$63,245.94","$61,294.50","$14,123.37",,,12.80%,1.0087
MID000208,"$1,310.99","$1,280.23",$280.55,,,10.60%,1.1085
MID000209,"$1,301,884.49","$1,251,107.25","$286,896.55",,,12.00%,1.0522
MID000210,"$112,823.04","$110,855.04","$23,524.38",,,14.00%,1.0552
MID000211,"$63,041.09","$61,295.63","$13,388.68",,,12.40%,1.0487
MID000212,"$70,319.78","$68,645.12","$14,673.12",,,14.00%,1.0441
MID000213,"$63,132.19","$62,251.90","$13,459.89",,,15.60%,1.0499
MID000214,"$64,583.35","$62,591.39","$13,959.45",,,13.40%,1.0447
MID000215,"$58,080.89","$56,805.16","$13,163.61",,,13.40%,0.9937
MID000216,"$1,307.23","$1,272.29",$282.48,,,12.00%,1.0876
MID000217,"$1,284,662.93","$1,254,479.05","$270,236.95",,,11.60%,1.0534
MID000218,"$1,291.87","$1,265.52",$282.38,,,13.80%,1.0336
MID000219,"$6,414.67","$6,329.33","$1,373.76",,,14.80%,1.0298
MID000220,"$50,798.78","$49,814.35","$10,651.58",,,15.80%,1.0138
MID000221,"$1,297.03","$1,276.16",$268.41,,,12.60%,1.1066
MID000222,"$12,889.41","$12,714.04","$2,852.87",,,15.60%,1.0128
MID000223,"$1,298.77","$1,259.30",$280.72,,,14.20%,1.0643
MID000224,"$6,496.22","$6,352.66","$1,413.69",,,12.60%,1.0584
MID000225,"$125,659.14","$122,512.85","$25,890.98",,,12.20%,1.1069
MID000226,"$57,108.48","$56,497.32","$12,049.14",,,16.00%,1.0049
MID000227,"$12,872.14","$12,714.63","$2,906.97",,,16.60%,0.9880
MID000228,"$12,860.11","$12,442.37","$2,711.79",,,11.80%,1.0547
MID000229,"$51,607.85","$50,178.41","$10,259.61",,,11.00%,1.1314
MID000230,"$13,049.64","$12,857.07","$2,827.05",,,13.60%,1.0787
MID000231,"$1,306,030.55","$1,272,834.10","$285,428.64",,,13.00%,1.0722
MID000232,"$13,070.58","$12,809.76","$2,837.14",,,12.00%,1.0823
MID000233,"$71,147.61","$69,477.48","$14,826.19",,,12.00%,1.0891
MID000234,"$64,481.17","$63,276.83","$13,996.06",,,11.60%,1.1061
MID000235,"$1,294,487.07","$1,255,638.92","$273,327.34",,,14.00%,1.0774
MID000236,"$6,373.91","$6,235.89","$1,324.96",,,14.20%,1.0369
MID000237,"$6,413.01","$6,298.68","$1,395.19",,,15.60%,1.0128
MID000238,"$64,011.01","$62,831.52","$13,113.86",,,13.60%,1.0684
MID000239,"$57,517.84","$56,648.42","$11,615.11",,,12.40%,1.0777
MID000240,"$63,494.41","$61,694.56","$15,007.55",,,16.60%,0.9658
MID000241,"$69,833.41","$68,502.91","$15,397.63",,,16.20%,0.9634
MID000242,"$89,654.24","$88,047.58","$18,740.72",,,13.40%,1.1021
MID000243,"$63,162.93","$62,126.61","$13,702.57",,,15.20%,1.0336
MID000244,"$63,711.23","$62,780.69","$13,555.28",,,12.40%,1.0853
MID000245,"$70,912.75","$69,599.63","$15,129.38",,,13.80%,1.0518
MID000246,"$1,290.66","$1,258.41",$267.52,,,11.80%,1.0865
MID000247,"$51,705.63","$51,421.47","$10,999.68",,,14.80%,1.0642
MID000248,"$64,293.65","$61,848.72","$15,139.32",,,16.00%,0.9441
MID000249,"$61,559.36","$59,313.69","$13,609.67",,,17.20%,0.9228
MID000250,"$116,641.43","$113,927.23","$22,955.47",,,10.60%,1.1606
MID000251,"$14,243.57","$13,905.98","$3,118.93",,,13.40%,1.0400
MID000252,"$69,830.73","$68,585.10","$14,750.95",,,17.80%,1.0054
MID000253,"$102,553.24","$100,281.86","$21,166.14",,,12.40%,1.0655
MID000254,"$113,131.05","$110,460.50","$24,284.29",,,12.80%,1.0349
MID000255,"$64,658.97","$63,099.58","$14,002.00",,,14.40%,1.0469
MID000256,"$115,088.87","$112,838.68","$24,969.76",,,13.20%,1.0849
MID000257,"$1,280,933.61","$1,234,904.92","$278,596.39",,,16.20%,1.0084
MID000258,"$88,944.21","$87,625.20","$18,290.88",,,13.00%,1.0904
MID000259,"$88,899.29","$87,129.36","$18,692.10",,,12.60%,1.0646
MID000260,"$63,079.74","$61,514.52","$14,082.61",,,14.80%,0.9998
MID000261,"$112,590.85","$109,894.38","$24,414.59",,,15.80%,1.0072
MID000262,"$127,191.10","$124,724.15","$26,721.95",,,11.00%,1.1298
MID000263,"$71,118.63","$69,894.66","$15,163.45",,,12.80%,1.0630
MID000264,"$112,216.88","$110,326.81","$26,095.43",,,17.40%,0.9280
MID000265,"$113,284.03","$110,163.10","$23,859.33",,,11.80%,1.0597
MID000266,"$64,556.15","$63,483.00","$13,596.29",,,13.60%,1.0706
MID000267,"$58,599.23","$56,921.56","$12,645.55",,,12.20%,1.0754
MID000268,"$88,966.31","$86,345.30","$18,630.84",,,12.40%,1.0717
MID000269,"$57,241.91","$56,166.67","$11,933.88",,,15.00%,1.0258
MID000270,"$104,401.10","$103,484.11","$20,390.56",,,11.40%,1.1967
MID000271,"$13,029.65","$12,686.04","$2,847.86",,,13.20%,1.0638
MID000272,"$102,671.64","$99,620.58","$22,042.11",,,12.60%,1.0286
MID000273,"$65,328.04","$64,011.22","$13,834.55",,,12.60%,1.1080
MID000274,"$126,207.36","$122,805.08","$26,272.06",,,12.00%,1.1117
MID000275,"$1,294.35","$1,291.92",$266.97,,,14.20%,1.1026
MID000276,"$1,294.67","$1,268.52",$266.49,,,12.60%,1.1057
MID000277,"$1,265,034.34","$1,224,740.39","$261,481.06",,,15.00%,1.0136
MID000278,"$51,467.64","$50,637.11","$10,523.35",,,13.40%,1.0897
MID000279,"$88,650.86","$85,911.68","$18,770.91",,,13.40%,1.0469
MID000280,"$105,091.99","$103,564.88","$22,068.95",,,11.40%,1.1370
MID000281,"$71,761.95","$70,701.00","$15,103.04",,,11.40%,1.1098
MID000282,"$88,340.54","$85,219.02","$20,014.22",,,15.60%,0.9663
MID000283,"$63,061.30","$61,876.93","$13,488.69",,,15.20%,1.0425
MID000284,"$64,890.04","$62,949.66","$13,408.06",,,12.40%,1.1105
MID000285,"$1,277,262.02","$1,260,037.33","$266,169.90",,,14.20%,1.0417
MID000286,"$14,328.04","$13,969.68","$3,005.40",,,12.40%,1.1074
MID000287,"$87,620.64","$85,879.92","$18,679.02",,,14.20%,0.9969
MID000288,"$117,010.71","$114,216.98","$25,664.00",,,11.80%,1.0525
MID000289,"$127,729.23","$125,263.14","$27,762.12",,,14.20%,1.1069
MID000290,"$112,853.76","$109,492.32","$23,628.05",,,13.00%,1.0519
MID000291,"$14,111.52","$13,793.42","$3,091.72",,,13.40%,1.0064
MID000292,"$1,281.45","$1,247.24",$285.73,,,14.00%,0.9850
MID000293,"$6,418.29","$6,278.11","$1,314.96",,,11.20%,1.0786
MID000294,"$103,997.57","$102,349.50","$22,880.21",,,12.80%,1.0488
MID000295,"$70,430.21","$68,430.24","$14,704.63",,,12.80%,1.0493
MID000296,"$64,359.92","$63,057.69","$14,225.11",,,13.00%,1.0798
MID000297,"$1,271,355.29","$1,238,505.58","$274,011.30",,,15.40%,0.9903
MID000298,"$103,036.11","$100,709.74","$20,953.81",,,11.80%,1.0994
MID000299,"$6,440.42","$6,367.71","$1,387.84",,,14.20%,1.0379
MID000300,"$1,267,854.43","$1,229,999.01","$292,482.39",,,16.80%,0.9158
MID000301,"$1,288.08","$1,265.62",$290.42,,,16.60%,0.9920
MID000302,"$13,991.53","$13,584.74","$3,049.43",,,15.40%,0.9810
MID000303,"$14,251.53","$13,812.16","$2,942.95",,,12.20%,1.1049
MID000304,"$71,533.00","$70,143.19","$15,448.87",,,11.80%,1.0702
MID000305,"$114,459.37","$114,070.16","$22,486.14",,,11.60%,1.1767
MID000306,"$126,810.33","$123,416.58","$26,685.71",,,12.60%,1.1171
MID000307,"$6,478.31","$6,380.76","$1,413.07",,,12.80%,1.0462
MID000308,"$124,088.98","$121,168.86","$27,871.40",,,15.20%,0.9719
MID000309,"$1,294.90","$1,277.91",$265.50,,,12.00%,1.1107
MID000310,"$1,312.48","$1,272.66",$281.65,,,12.00%,1.1095
MID000311,"$14,098.78","$13,888.56","$2,933.29",,,13.60%,1.0564
MID000312,"$102,916.31","$100,810.72","$20,882.59",,,13.80%,1.0974
MID000313,"$69,723.53","$68,619.54","$15,244.09",,,16.40%,0.9659
MID000314,"$89,633.01","$88,258.74","$19,858.01",,,13.80%,1.0390
MID000315,"$63,013.42","$62,652.67","$13,152.88",,,16.40%,1.0654
MID000316,"$1,293,001.67","$1,258,935.26","$285,641.21",,,12.60%,1.0258
MID000317,"$1,301,489.02","$1,278,674.08","$271,482.68",,,11.40%,1.1105
MID000318,"$88,687.35","$87,656.52","$18,613.13",,,13.80%,1.0577
MID000319,"$58,752.74","$58,017.53","$12,303.93",,,12.40%,1.1178
MID000320,"$14,305.11","$13,864.55","$3,238.37",,,13.40%,1.0206
MID000321,"$65,651.71","$64,044.58","$13,670.46",,,11.00%,1.1449
MID000322,"$58,683.78","$57,035.85","$12,869.33",,,13.40%,1.0633
MID000323,"$1,283,132.49","$1,243,054.75","$265,893.46",,,12.80%,1.0648
MID000324,"$1,291,774.45","$1,264,045.52","$278,031.39",,,11.60%,1.0494
MID000325,"$127,938.65","$124,930.77","$26,486.05",,,10.40%,1.1681
MID000326,"$64,232.29","$61,710.65","$14,214.48",,,12.80%,1.0013
MID000327,"$104,058.30","$101,263.04","$21,080.99",,,11.80%,1.1412
MID000328,"$88,552.34","$87,141.28","$18,144.42",,,13.40%,1.0776
MID000329,"$123,521.40","$121,536.03","$26,471.13",,,15.60%,1.0019
MID000330,"$51,087.08","$49,340.36","$10,970.15",,,13.80%,1.0107
MID000331,"$1,319,887.88","$1,284,378.24","$288,368.96",,,11.40%,1.1093
MID000332,"$103,488.32","$100,627.40","$22,229.72",,,14.20%,1.0566
MID000333,"$63,956.98","$62,754.62","$13,436.21",,,16.00%,1.0388
MID000334,"$89,361.77","$87,562.41","$17,421.07",,,11.20%,1.1688
MID000335,"$63,915.96","$61,691.96","$14,209.21",,,11.60%,1.0497
MID000336,"$1,282.83","$1,250.96",$283.10,,,14.40%,0.9990
MID000337,"$6,432.11","$6,336.88","$1,324.86",,,13.60%,1.0810
MID000338,"$124,574.76","$122,588.39","$25,235.70",,,12.20%,1.0927
MID000339,"$113,539.71","$110,487.83","$24,113.32",,,15.20%,1.0592
MID000340,"$63,286.13","$61,400.65","$13,403.56",,,12.60%,1.0658
MID000341,"$113,993.15","$111,191.97","$25,036.65",,,14.20%,1.0382
MID000342,"$13,080.76","$12,717.74","$2,839.06",,,12.20%,1.0851
MID000343,"$89,771.49","$88,240.19","$18,753.54",,,10.80%,1.1076
MID000344,"$70,456.74","$69,582.16","$14,595.30",,,14.80%,1.0590
MID000345,"$103,831.33","$100,250.56","$22,582.95",,,12.40%,1.0553
