MEMBER_ID,Expected Final Portfolio Value,Median Final Portfolio Value,Standard Deviation of Final Portfolio Value,Value at Risk (VaR 95%),Conditional Value at Risk (CVaR 95%),Probability of Loss,Sharpe Ratio
MID000037,"$108,186.34","$106,122.75","$22,169.12","$12,198.14","$18,180.29",18.60%,0.9106
MID000038,"$112,189.50","$110,487.86","$23,696.55","$13,806.30","$19,639.30",15.20%,0.9364
MID000039,"$97,713.54","$95,407.50","$20,034.98","$12,000.99","$15,813.75",17.80%,0.8841
MID000040,"$68,015.69","$66,648.98","$14,176.70","$8,605.08","$11,692.81",18.40%,0.9181
MID000041,"$99,373.42","$98,016.11","$19,750.05","$11,344.78","$16,016.81",16.20%,0.9809
MID000042,"$1,225.96","$1,218.15",$262.28,$161.64,$229.22,20.00%,0.8615
MID000043,"$55,197.28","$53,630.07","$12,220.71","$7,246.68","$10,171.91",20.00%,0.8344
MID000044,"$60,389.41","$59,209.89","$12,543.60","$7,310.80","$9,919.30",18.80%,0.9080
MID000045,"$67,151.79","$66,961.23","$14,048.38","$8,726.35","$12,413.91",20.60%,0.8650
MID000046,"$107,755.56","$105,816.93","$22,076.74","$13,552.33","$20,093.87",17.40%,0.8949
MID000047,"$12,301.48","$12,090.70","$2,554.60","$1,374.93","$1,913.48",18.80%,0.9009
MID000048,"$12,205.81","$12,061.33","$2,573.27","$1,497.16","$2,061.89",21.20%,0.8572
MID000049,"$98,248.30","$96,845.03","$19,271.20","$11,811.30","$16,767.33",18.80%,0.9469
MID000050,"$61,401.86","$60,168.22","$12,176.88","$6,381.33","$10,335.35",16.00%,0.9364
MID000051,"$1,220.47","$1,200.61",$261.41,$173.85,$241.75,19.80%,0.8434
MID000052,"$55,564.35","$54,664.18","$11,545.48","$5,774.41","$10,774.29",17.40%,0.9150
MID000053,"$6,161.14","$6,020.78","$1,322.77",$764.68,"$1,133.47",18.20%,0.8778
MID000054,"$6,109.67","$5,906.53","$1,270.46",$560.17,$886.38,18.60%,0.8734
MID000055,"$1,222.87","$1,199.39",$252.89,$135.63,$210.43,19.80%,0.8813
MID000056,"$59,338.09","$57,494.35","$11,783.04","$6,017.83","$9,058.89",20.20%,0.8774
MID000057,"$119,011.67","$117,434.71","$24,416.41","$12,212.25","$19,680.49",20.20%,0.9015
MID000058,"$13,486.44","$13,257.17","$2,729.82","$1,418.12","$2,253.01",17.60%,0.9108
MID000059,"$12,102.30","$11,735.26","$2,540.22","$1,395.77","$2,064.08",19.00%,0.8276
MID000060,"$108,459.42","$106,744.58","$22,519.82","$11,014.12","$15,902.77",17.80%,0.9085
MID000061,"$55,485.76","$54,068.62","$11,611.17","$6,261.06","$9,725.74",17.00%,0.9031
MID000062,"$62,129.53","$61,019.65","$12,920.00","$6,192.37","$9,105.20",18.20%,0.9388
MID000063,"$1,222.67","$1,199.79",$258.63,$145.64,$213.18,20.40%,0.8610
MID000064,"$1,225,788.56","$1,183,020.08","$254,362.98","$147,491.29","$203,947.02",18.60%,0.8877
MID000065,"$1,232,738.64","$1,200,155.56","$264,268.81","$140,899.41","$202,965.62",19.60%,0.8807
MID000066,"$1,236,431.13","$1,212,453.10","$253,877.85","$149,126.75","$212,051.16",18.80%,0.9313
MID000067,"$84,502.46","$82,045.90","$18,268.35","$9,469.51","$15,998.95",19.40%,0.8486
MID000068,"$98,096.34","$95,838.97","$21,082.05","$12,413.85","$18,915.82",19.40%,0.8584
MID000069,"$60,091.42","$58,577.70","$12,393.00","$6,511.25","$9,776.58",17.80%,0.8950
MID000070,"$59,775.26","$58,447.20","$12,215.28","$8,407.99","$10,511.06",18.20%,0.8821
MID000071,"$83,807.50","$82,154.00","$17,241.85","$10,617.52","$14,771.00",19.20%,0.8588
MID000072,"$62,126.07","$60,423.42","$12,896.45","$5,267.02","$8,563.32",17.40%,0.9403
MID000073,"$61,732.80","$60,323.65","$12,320.23","$6,790.11","$9,786.30",16.00%,0.9523
MID000074,"$12,202.22","$11,816.32","$2,455.02","$1,158.83","$1,755.01",18.00%,0.8970
MID000075,"$1,238,574.80","$1,213,081.43","$246,816.71","$141,759.72","$194,215.68",15.20%,0.9666
MID000076,"$6,118.22","$5,980.01","$1,270.25",$727.25,"$1,122.93",17.40%,0.8803
MID000077,"$61,387.66","$60,018.48","$12,872.67","$7,805.93","$10,627.50",20.20%,0.8846
MID000078,"$85,067.75","$83,061.75","$18,442.14","$9,456.61","$12,852.40",18.00%,0.8713
MID000079,"$62,018.58","$60,946.28","$12,603.93","$7,342.67","$10,127.43",15.40%,0.9536
MID000080,"$60,472.65","$59,451.50","$12,163.68","$6,008.51","$8,614.68",15.80%,0.9432
MID000081,"$6,204.37","$6,140.12","$1,206.28",$491.69,$975.66,14.20%,0.9984
MID000082,"$1,235,919.81","$1,216,542.99","$264,824.81","$147,714.68","$216,341.07",19.40%,0.8909
MID000083,"$13,564.84","$13,194.35","$2,789.65","$1,296.71","$1,781.65",19.00%,0.9194
MID000084,"$108,386.13","$106,927.20","$23,013.90","$11,657.50","$18,629.36",19.80%,0.8858
MID000085,"$60,854.37","$59,140.56","$12,598.37","$5,766.19","$9,920.59",17.20%,0.9409
MID000086,"$110,588.40","$108,498.23","$23,164.52","$13,275.43","$18,847.19",17.40%,0.8888
MID000087,"$109,504.07","$107,045.26","$22,124.78","$9,444.06","$15,096.48",18.20%,0.9719
MID000088,"$107,581.70","$105,189.45","$21,297.45","$11,577.07","$17,704.34",16.40%,0.9194
MID000089,"$67,562.20","$65,175.86","$14,115.90","$7,383.29","$11,391.85",17.40%,0.8899
MID000090,"$54,943.76","$53,559.58","$11,630.78","$6,350.20","$9,200.44",19.60%,0.8550
MID000091,"$111,500.64","$108,740.94","$23,165.13","$12,579.21","$18,504.52",16.40%,0.9281
MID000092,"$1,268,424.78","$1,231,883.89","$275,077.31","$134,078.92","$194,263.43",14.40%,0.9758
MID000093,"$120,446.20","$116,927.47","$25,224.24","$13,587.94","$21,245.06",17.80%,0.9295
MID000094,"$97,555.69","$94,089.61","$21,360.83","$13,062.64","$17,875.78",21.00%,0.8219
MID000095,"$59,499.17","$58,057.73","$12,587.64","$6,988.76","$10,656.21",20.40%,0.8341
MID000096,"$55,285.67","$53,999.47","$11,633.97","$5,761.34","$9,119.31",18.40%,0.8841
MID000097,"$110,255.06","$108,091.41","$21,059.98","$11,585.89","$19,071.90",16.40%,0.9618
MID000098,"$86,755.55","$84,417.57","$19,146.92","$8,968.86","$14,595.94",17.00%,0.9273
MID000099,"$66,821.07","$65,141.50","$13,605.86","$8,049.72","$11,471.66",19.20%,0.8688
MID000100,"$48,440.70","$48,126.38","$9,197.54","$5,789.24","$7,863.91",18.60%,0.9177
MID000101,"$67,390.50","$64,745.87","$13,750.76","$7,539.57","$11,478.68",17.60%,0.9011
MID000102,"$55,177.76","$53,078.12","$12,358.97","$7,043.92","$10,486.02",20.20%,0.8235
MID000103,"$118,856.65","$116,258.69","$24,621.97","$15,892.69","$22,929.29",17.20%,0.8877
MID000104,"$13,694.80","$13,480.80","$2,969.74","$1,590.57","$2,473.07",18.80%,0.9074
MID000105,"$111,216.68","$110,032.52","$22,435.38","$13,416.85","$19,569.62",17.20%,0.9457
MID000106,"$118,817.31","$116,906.82","$24,146.88","$13,375.81","$20,110.18",19.20%,0.9035
MID000107,"$55,601.40","$53,844.91","$11,813.76","$6,777.13","$9,305.87",17.60%,0.8974
MID000108,"$84,837.75","$83,160.75","$18,151.83","$8,936.33","$14,245.59",17.40%,0.8725
MID000109,"$1,213,995.04","$1,190,624.76","$236,374.85","$124,528.01","$190,214.03",20.00%,0.9053
MID000110,"$55,984.38","$54,788.73","$12,068.95","$7,329.12","$10,260.30",16.60%,0.9101
MID000111,"$1,242,458.64","$1,214,413.67","$256,458.26","$139,821.93","$205,271.62",16.40%,0.9454
MID000112,"$6,121.66","$6,018.07","$1,350.59",$824.73,"$1,195.67",22.40%,0.8305
MID000113,"$60,814.86","$59,714.32","$12,613.87","$6,161.65","$9,496.87",17.60%,0.9367
MID000114,"$68,303.95","$67,114.89","$14,235.52","$7,108.15","$10,204.91",17.20%,0.9346
MID000115,"$1,226.49","$1,203.44",$246.69,$134.52,$189.26,17.80%,0.9181
MID000116,"$1,234,162.61","$1,207,968.98","$279,370.59","$157,922.74","$214,518.99",23.40%,0.8382
MID000117,"$6,172.55","$5,998.46","$1,317.72",$715.10,"$1,059.91",17.40%,0.8898
MID000118,"$49,707.61","$48,511.58","$10,600.79","$5,893.30","$8,835.16",16.40%,0.9157
MID000119,"$106,364.21","$103,199.38","$21,688.63","$12,671.74","$18,945.72",19.60%,0.8467
MID000120,"$119,667.17","$117,324.09","$24,552.35","$15,528.27","$20,657.86",16.80%,0.9232
MID000121,"$61,465.48","$59,852.71","$13,351.96","$8,096.29","$11,759.84",18.80%,0.8587
MID000122,"$55,304.14","$53,968.08","$11,484.14","$5,981.44","$9,146.18",18.40%,0.8972
MID000123,"$6,151.28","$5,964.04","$1,306.89",$675.65,"$1,110.41",17.20%,0.8809
MID000124,"$62,435.44","$60,853.29","$13,140.55","$5,737.73","$9,771.92",17.60%,0.9463
MID000125,"$111,198.16","$109,062.28","$22,861.61","$10,781.15","$17,778.89",19.20%,0.9272
MID000126,"$121,849.95","$118,333.71","$26,033.11","$11,579.03","$18,443.11",17.20%,0.9546
MID000127,"$107,957.44","$104,834.79","$21,779.09","$9,157.08","$17,031.23",16.80%,0.9164
MID000128,"$1,227,463.59","$1,204,811.43","$252,869.27","$117,181.45","$167,812.38",19.80%,0.8995
MID000129,"$108,561.56","$105,968.53","$23,826.18","$12,882.52","$19,765.53",19.80%,0.8630
MID000130,"$67,453.83","$65,697.97","$13,913.84","$7,214.07","$11,568.37",20.40%,0.8951
MID000131,"$59,944.91","$57,745.27","$12,746.29","$6,669.94","$10,634.27",17.20%,0.8587
MID000132,"$1,229,181.23","$1,189,105.89","$251,195.20","$153,157.73","$215,622.73",16.00%,0.9124
MID000133,"$1,232,941.99","$1,208,034.28","$256,565.68","$147,816.84","$210,010.54",18.40%,0.9079
MID000134,"$68,782.53","$67,078.83","$14,299.88","$5,872.17","$9,481.00",17.80%,0.9638
MID000135,"$107,108.15","$104,839.45","$21,177.53","$11,731.87","$17,395.22",18.60%,0.9023
MID000136,"$98,755.82","$95,776.83","$20,125.87","$10,096.80","$14,504.24",16.20%,0.9319
MID000137,"$12,297.02","$11,967.02","$2,652.43","$1,289.62","$2,069.00",19.40%,0.8660
MID000138,"$96,326.33","$94,510.36","$19,155.37","$12,842.43","$19,116.54",19.20%,0.8523
MID000139,"$60,411.19","$58,654.45","$12,460.08","$6,174.02","$10,185.08",16.40%,0.9158
MID000140,"$49,224.50","$48,109.84","$10,532.18","$6,831.39","$9,839.28",17.80%,0.8758
MID000141,"$49,552.92","$48,015.26","$10,290.38","$4,595.48","$6,423.99",17.60%,0.9283
MID000142,"$55,216.98","$54,149.90","$11,723.10","$6,773.81","$9,524.96",20.40%,0.8715
MID000143,"$55,304.81","$54,480.00","$11,977.96","$6,761.33","$9,842.09",21.20%,0.8603
MID000144,"$66,926.76","$64,831.51","$14,110.50","$9,240.09","$11,246.72",19.60%,0.8452
MID000145,"$111,208.67","$108,637.56","$21,947.02","$9,455.45","$15,992.21",17.60%,0.9664
MID000146,"$61,507.88","$60,305.29","$13,341.63","$7,624.54","$10,821.74",19.40%,0.8626
MID000147,"$107,219.41","$104,950.14","$23,401.32","$12,748.27","$19,812.17",21.60%,0.8213
MID000148,"$13,624.55","$13,285.84","$2,825.15","$1,429.76","$1,969.46",16.80%,0.9290
MID000149,"$110,487.20","$108,328.92","$23,531.35","$12,003.77","$17,104.99",20.00%,0.8706
MID000150,"$6,114.01","$5,912.88","$1,238.88",$685.86,"$1,066.77",19.40%,0.8992
MID000151,"$55,573.71","$54,105.50","$11,260.34","$4,221.17","$8,760.37",15.60%,0.9390
MID000152,"$108,442.56","$105,905.08","$23,802.25","$13,576.85","$19,602.26",18.20%,0.8588
MID000153,"$1,235,964.62","$1,209,993.68","$262,460.81","$128,958.39","$177,144.94",18.60%,0.8990
MID000154,"$118,724.41","$115,758.09","$25,415.16","$14,599.31","$22,155.91",19.40%,0.8548
MID000155,"$121,198.99","$118,355.40","$25,814.14","$13,641.43","$21,996.63",16.00%,0.9374
MID000156,"$61,448.75","$60,571.65","$13,319.01","$7,166.33","$10,238.56",18.60%,0.9347
MID000157,"$1,217,608.35","$1,202,853.99","$259,488.31","$182,523.17","$251,252.98",21.20%,0.8386
MID000158,"$98,492.95","$96,941.97","$21,424.80","$13,399.24","$18,976.63",20.60%,0.8632
MID000159,"$117,854.07","$115,884.97","$24,940.52","$15,740.95","$23,208.60",19.80%,0.8362
MID000160,"$61,502.82","$60,565.96","$12,643.37","$6,902.06","$10,331.58",18.40%,0.9098
MID000161,"$61,241.68","$59,503.88","$12,637.03","$7,028.06","$10,273.21",18.00%,0.8896
MID000162,"$62,832.61","$61,071.08","$13,825.67","$6,726.32","$9,926.95",17.40%,0.9282
MID000163,"$1,237.72","$1,207.38",$260.37,$135.98,$206.23,18.40%,0.9130
MID000164,"$118,986.57","$115,457.92","$25,661.28","$14,496.63","$20,214.12",19.80%,0.8568
MID000165,"$110,316.96","$107,543.86","$22,207.31","$11,135.04","$17,737.40",16.80%,0.9149
MID000166,"$62,507.81","$61,483.65","$12,920.33","$6,030.44","$9,653.14",16.80%,0.9681
MID000167,"$119,687.54","$115,034.63","$26,692.78","$14,148.91","$21,781.89",18.60%,0.8500
MID000168,"$59,807.80","$58,058.93","$12,066.15","$6,575.73","$8,739.92",18.60%,0.8957
MID000169,"$13,658.26","$13,274.19","$2,843.70","$1,383.11","$2,377.90",14.00%,0.9348
MID000170,"$117,803.17","$115,798.48","$23,131.99","$14,030.59","$22,291.94",18.60%,0.8993
MID000171,"$1,237,668.00","$1,229,080.32","$264,415.03","$161,841.84","$211,603.89",18.40%,0.8988
MID000172,"$113,166.55","$110,132.21","$23,584.40","$11,707.15","$18,151.51",14.40%,0.9823
MID000173,"$84,636.43","$83,712.15","$17,721.35","$11,744.38","$15,748.23",19.60%,0.8823
MID000174,"$120,135.52","$117,186.30","$25,092.29","$14,530.58","$19,475.72",18.40%,0.9220
MID000175,"$109,600.50","$106,715.15","$22,090.77","$9,140.18","$16,228.34",16.80%,0.9778
MID000176,"$60,161.01","$58,548.95","$12,442.32","$5,570.64","$8,494.25",18.80%,0.8970
MID000177,"$1,231,113.13","$1,213,016.02","$244,505.85","$125,596.67","$189,597.10",17.80%,0.9452
MID000178,"$110,196.36","$107,244.86","$22,752.57","$12,397.47","$18,385.72",17.80%,0.8877
MID000179,"$1,224.29","$1,199.29",$239.97,$150.67,$198.65,16.80%,0.9347
MID000180,"$61,063.10","$59,768.70","$13,318.86","$7,318.90","$11,094.06",19.80%,0.9057
MID000181,"$1,218,297.82","$1,198,727.85","$265,154.23","$153,732.98","$236,539.68",21.80%,0.8233
MID000182,"$60,571.89","$59,736.96","$12,513.33","$7,310.67","$10,333.19",17.80%,0.9248
MID000183,"$12,410.97","$12,172.66","$2,473.95","$1,107.32","$2,043.16",14.80%,0.9745
MID000184,"$12,348.18","$12,027.52","$2,596.94","$1,485.90","$2,238.78",16.60%,0.9042
MID000185,"$49,340.93","$48,202.19","$9,945.99","$5,202.39","$8,085.76",17.60%,0.9392
MID000186,"$1,215,398.92","$1,180,555.54","$268,814.36","$146,301.35","$211,695.28",19.60%,0.8013
MID000187,"$1,234.18","$1,207.24",$271.82,$166.40,$224.05,19.00%,0.8615
MID000188,"$1,229,261.05","$1,198,989.02","$248,605.73","$128,255.63","$204,304.69",16.20%,0.9222
MID000189,"$111,643.15","$108,929.09","$22,936.87","$9,180.33","$14,996.41",17.00%,0.9436
MID000190,"$67,525.32","$65,642.21","$14,112.32","$6,730.11","$9,587.26",18.00%,0.8875
MID000191,"$111,218.24","$109,179.90","$24,302.05","$12,070.55","$17,255.33",19.00%,0.8731
MID000192,"$12,137.96","$11,870.35","$2,532.55","$1,527.35","$2,089.57",20.00%,0.8442
MID000193,"$12,316.89","$12,001.77","$2,516.12","$1,289.92","$1,957.08",17.20%,0.9208
MID000194,"$1,233,077.60","$1,189,816.88","$257,549.99","$142,614.95","$202,447.29",16.80%,0.9050
MID000195,"$67,263.14","$66,476.10","$13,389.78","$7,011.56","$11,421.73",20.80%,0.9159
MID000196,"$1,213,350.34","$1,192,233.16","$250,583.98","$162,001.78","$218,685.39",20.00%,0.8514
MID000197,"$67,204.66","$66,125.83","$13,692.99","$7,716.76","$11,845.83",19.20%,0.8913
MID000198,"$83,782.85","$81,780.91","$17,627.14","$10,520.28","$14,324.63",20.40%,0.8386
MID000199,"$108,349.44","$106,430.68","$22,433.65","$12,896.38","$19,218.64",18.40%,0.9071
MID000200,"$6,201.31","$6,118.56","$1,215.07",$591.96,$943.30,15.80%,0.9887
MID000201,"$13,312.00","$13,217.32","$2,678.00","$1,778.76","$2,553.13",20.80%,0.8633
MID000202,"$96,477.16","$94,110.09","$19,703.16","$10,244.48","$15,781.47",19.80%,0.8363
MID000203,"$12,465.15","$12,197.84","$2,614.56","$1,474.00","$2,145.74",16.00%,0.9429
MID000204,"$62,079.98","$60,548.95","$13,364.26","$7,514.34","$10,767.97",17.00%,0.9039
MID000205,"$117,945.96","$114,551.37","$24,513.66","$14,527.31","$19,499.25",20.60%,0.8545
MID000206,"$109,623.27","$106,577.19","$24,448.97","$15,028.69","$22,711.24",21.20%,0.8026
MID000207,"$59,791.84","$58,256.71","$12,468.60","$7,008.55","$10,968.58",19.60%,0.8655
MID000208,"$1,215.04","$1,170.07",$253.18,$149.79,$200.73,18.80%,0.8494
MID000209,"$1,223,149.80","$1,200,034.39","$251,239.01","$127,481.39","$194,071.49",19.40%,0.8882
MID000210,"$106,484.16","$103,442.36","$22,375.72","$13,151.93","$20,121.06",17.80%,0.8261
MID000211,"$60,199.44","$59,649.30","$11,717.99","$6,447.04","$9,031.62",17.60%,0.9557
MID000212,"$68,345.15","$67,090.28","$13,791.06","$6,667.41","$10,534.28",17.20%,0.9677
MID000213,"$59,559.54","$58,186.80","$12,141.41","$6,777.30","$11,471.59",19.00%,0.8697
MID000214,"$61,499.18","$60,373.79","$13,436.77","$8,384.04","$11,232.22",19.60%,0.8558
MID000215,"$54,981.79","$53,279.34","$12,226.95","$7,106.24","$9,664.81",22.40%,0.8164
MID000216,"$1,225.75","$1,192.44",$263.79,$141.22,$227.28,18.40%,0.8558
MID000217,"$1,235,736.48","$1,209,064.37","$262,989.72","$148,100.58","$230,671.04",16.40%,0.8964
MID000218,"$1,238.75","$1,214.26",$255.22,$119.37,$209.42,18.40%,0.9354
MID000219,"$6,186.00","$6,019.03","$1,267.14",$590.08,$948.66,17.40%,0.9360
MID000220,"$48,796.24","$47,138.64","$10,244.31","$5,418.77","$8,634.21",20.20%,0.8586
MID000221,"$1,225.84","$1,191.20",$244.46,$143.75,$212.35,17.60%,0.9238
MID000222,"$12,265.70","$11,954.29","$2,498.80","$1,339.07","$2,050.13",18.00%,0.9067
MID000223,"$1,214.07","$1,182.39",$264.29,$154.09,$205.85,23.80%,0.8100
MID000224,"$6,226.81","$5,991.76","$1,367.08",$729.90,"$1,007.10",17.80%,0.8974
MID000225,"$120,279.75","$118,029.65","$23,416.62","$11,755.90","$18,186.07",16.60%,0.9942
MID000226,"$55,451.83","$54,155.84","$12,102.57","$6,491.17","$9,442.69",20.00%,0.8636
MID000227,"$12,324.81","$12,029.65","$2,605.49","$1,174.28","$2,141.47",19.40%,0.8923
MID000228,"$12,228.90","$12,056.44","$2,592.54","$1,510.88","$2,247.43",19.40%,0.8597
MID000229,"$49,184.86","$48,311.40","$10,335.34","$5,281.98","$8,216.63",19.40%,0.8887
MID000230,"$12,341.40","$11,936.54","$2,554.67","$1,242.57","$1,880.45",17.40%,0.9165
MID000231,"$1,237,678.72","$1,215,875.38","$258,717.06","$147,884.70","$201,533.93",17.60%,0.9187
MID000232,"$12,242.64","$12,094.13","$2,443.32","$1,315.71","$2,135.41",20.00%,0.9179
MID000233,"$67,700.20","$66,562.12","$14,376.62","$8,373.03","$12,244.11",19.20%,0.8834
MID000234,"$59,280.65","$58,255.38","$12,105.99","$8,514.54","$12,256.54",19.80%,0.8492
MID000235,"$1,217,376.47","$1,202,450.59","$237,543.59","$132,482.72","$213,434.03",18.20%,0.9151
MID000236,"$6,182.83","$6,017.83","$1,360.48",$628.09,$993.45,18.40%,0.8694
MID000237,"$6,030.99","$5,929.46","$1,203.48",$605.43,$979.99,20.00%,0.8567
MID000238,"$62,422.70","$61,340.99","$13,531.99","$6,770.90","$11,723.55",17.40%,0.9180
MID000239,"$55,103.18","$53,919.26","$11,591.22","$6,706.63","$10,309.92",19.20%,0.8716
MID000240,"$60,285.22","$59,279.28","$13,458.54","$8,439.34","$12,316.22",19.60%,0.8385
MID000241,"$67,241.49","$66,526.95","$14,154.71","$8,167.03","$11,257.34",20.00%,0.8648
MID000242,"$84,392.00","$82,882.10","$16,938.57","$9,400.57","$14,716.71",16.60%,0.9087
MID000243,"$60,849.78","$59,697.35","$12,917.71","$5,567.22","$9,833.83",17.60%,0.9173
MID000244,"$60,579.09","$59,059.82","$12,736.72","$6,575.01","$9,744.39",19.00%,0.9091
MID000245,"$66,547.87","$65,250.00","$13,803.47","$7,349.76","$10,823.65",20.40%,0.8366
MID000246,"$1,223.56","$1,182.05",$261.11,$140.17,$236.04,18.20%,0.8562
MID000247,"$48,675.90","$47,839.00","$10,007.49","$6,429.57","$8,740.69",20.00%,0.8669
MID000248,"$61,297.37","$60,070.68","$13,062.70","$6,968.25","$10,870.19",18.40%,0.8649
MID000249,"$60,481.57","$59,775.46","$12,215.50","$7,175.48","$9,479.26",18.60%,0.9399
MID000250,"$110,622.89","$108,692.68","$22,959.31","$13,727.52","$19,798.24",17.00%,0.8982
MID000251,"$13,511.15","$13,089.38","$2,851.20","$1,421.74","$2,110.90",17.60%,0.8807
MID000252,"$67,439.96","$66,818.35","$13,411.42","$8,004.91","$12,090.29",18.40%,0.9276
MID000253,"$99,532.24","$97,823.23","$20,596.92","$9,984.97","$14,591.85",18.00%,0.9483
MID000254,"$107,096.56","$104,976.94","$21,553.01","$12,176.45","$17,197.22",19.20%,0.8860
MID000255,"$62,729.14","$60,868.91","$13,444.82","$6,495.18","$10,082.96",16.20%,0.9468
MID000256,"$107,845.26","$105,188.28","$22,189.49","$12,394.72","$17,742.87",18.80%,0.8944
MID000257,"$1,212,278.89","$1,192,838.34","$250,224.25","$163,428.62","$230,132.26",19.60%,0.8484
MID000258,"$84,009.27","$82,749.65","$17,624.28","$11,739.01","$14,944.69",20.00%,0.8516
MID000259,"$85,258.03","$84,161.09","$17,307.59","$9,652.42","$13,743.11",17.40%,0.9394
MID000260,"$60,148.08","$58,741.96","$11,693.19","$6,512.74","$9,525.97",17.40%,0.9534
MID000261,"$108,146.48","$105,129.10","$23,375.74","$13,556.24","$18,351.41",19.20%,0.8619
MID000262,"$119,338.21","$115,699.88","$25,347.54","$12,201.62","$19,234.45",18.60%,0.8813
MID000263,"$67,781.17","$66,478.62","$14,123.97","$7,201.56","$10,877.65",19.40%,0.9049
MID000264,"$107,809.92","$104,796.75","$23,028.76","$13,508.80","$18,912.54",20.80%,0.8602
MID000265,"$109,591.17","$107,650.95","$22,362.24","$11,587.82","$17,572.27",17.40%,0.9655
MID000266,"$60,554.56","$59,875.67","$12,879.43","$8,696.68","$12,503.91",22.00%,0.8195
MID000267,"$55,734.81","$54,785.09","$11,667.48","$5,996.97","$10,191.48",15.80%,0.9201
MID000268,"$85,686.19","$84,343.43","$16,963.66","$8,300.66","$14,262.62",15.20%,0.9836
MID000269,"$54,995.73","$53,660.36","$11,318.46","$5,856.93","$9,208.27",17.40%,0.8831
MID000270,"$97,863.57","$97,196.80","$19,197.78","$11,733.40","$15,527.39",19.20%,0.9305
MID000271,"$12,476.90","$12,184.00","$2,553.67","$1,134.93","$1,772.09",18.00%,0.9699
